productora,revenue,nro_peliculas
Cité Films,0.0,13
Zephyr Films,113919695.0,13
Radiotelevisão Portuguesa (RTP),6063556.0,12
British International Pictures (BIP),0.0,12
Cosmopolitan Productions,0.0,12
O2 Filmes,50981541.0,12
Sony Pictures Entertainment,929847412.0,12
Lumière,25762027.0,12
Jerry Weintraub Productions,2215701309.0,12
Posa Films,0.0,12
Toho-Towa,903782814.0,12
Majestic Films International,573414726.0,12
Epic Pictures Group,0.0,12
Filmsonor,0.0,12
Red Chillies Entertainment,245680775.0,12
Sara Films,0.0,12
Mad Chance,573142914.0,12
Motlys,1521286.0,12
Société Nouvelle de Cinématographie (SNC),0.0,12
Celtic Films Entertainment,0.0,12
Les Productions Jacques Roitfeld,29456000.0,12
Mikado Film,47524340.0,12
Showbox,339732931.0,12
P.P. Film Polski,0.0,12
Duplass Brothers Productions,11838692.0,12
Lorimar Productions,33299736.0,12
Star Cinema Productions,525342.0,12
Walt Disney Feature Animation,3095289004.0,12
Touchwood Pacific Partners 1,239483532.0,12
Mafilm,0.0,12
Lawrence Bender Productions,514017165.0,12
Film Four International,788117.0,12
Rectangle Productions,249083.0,12
Benaroya Pictures,90791338.0,12
Hughes Entertainment,1271052238.0,12
Rising Star,201673284.0,12
HandMade Films,62264676.0,12
Lira Films,0.0,12
Galatea Film,0.0,12
Fono Roma,741766.0,12
Mattel,19986219.0,12
Universal 1440 Entertainment,0.0,12
El Deseo,130181066.0,12
Passion Pictures,0.0,12
Thunder Road Pictures,1519280024.0,12
Medusa Produzione,21001563.0,12
Studio Trite,35302080.0,12
Little Bear,0.0,12
ABC Circle Films,0.0,12
Pandora Cinema,9661442.0,12
Medienboard Berlin-Brandenburg,417576824.0,12
Art Pictures Studio,116604976.0,12
American Playhouse,3346013.0,12
Kadokawa Shoten Publishing Co.,126375695.0,12
Trilogy Entertainment Group,187623671.0,12
Living Films,358589286.0,12
Coop 99,0.0,12
Bing Crosby Productions,0.0,12
Clinica Estetico,411496321.0,12
Beta Film,0.0,12
Fortissimo Films,6704003.0,12
The Global Asylum,0.0,12
Island Pictures,21833279.0,12
Filmverlag der Autoren,100.0,12
Mace Neufeld Productions,1476027245.0,12
River Road Entertainment,580733495.0,12
Paragon Films Ltd.,0.0,12
Le Studio Canal+,32383886.0,12
LionsGate,401516521.0,12
Franco London Films,119.0,12
SND,67242931.0,12
Anchor Bay Films,7912432.0,12
Hubert Bals Fund,2800.0,11
View Askew Productions,186827883.0,11
Dovzhenko Film Studios,0.0,11
Dharma Productions,135750247.0,11
TV2 Danmark,5900000.0,11
Alicéléo,0.0,11
Lighthouse Pictures,1469.0,11
Balcázar Producciones Cinematográficas,161362.0,11
Kinokompaniya CTB,34637656.0,11
Anton Capital Entertainment (ACE),696433483.0,11
Scottish Screen,75273222.0,11
Paris Film,173916.0,11
Quickfire Films,35199985.0,11
Smart Egg Pictures,122246540.0,11
Palace Pictures,106388694.0,11
Lawrence Gordon Productions,1170780493.0,11
EMI Films Ltd.,148257534.0,11
Whitewater Films,721217.0,11
Televisió de Catalunya TV3,61601566.0,11
Aramid Entertainment Fund,47265726.0,11
Jolly Film,14500000.0,11
Parkes+MacDonald Image Nation,1918725992.0,11
The Archers,0.0,11
Les Films Christian Fechner,0.0,11
Big Beach Films,165555054.0,11
Red Wagon Entertainment,1941434730.0,11
The Samuel Goldwyn Company,15614765.0,11
Skydance Productions,3429522204.0,11
Sandollar Productions,188244181.0,11
Silver Screen Partners II,192442231.0,11
Number 9 Films,72079889.0,11
Showbox Entertainment,53587419.0,11
Reel One Entertainment,0.0,11
Moonlighting Films,309443925.0,11
